date,electricity_cost,oil_cost,tavg,tmin,tmax,prcp,snow,HDD,CDD,heating_days,cost_per_hdd,cooling_days,cost_per_cdd,total_dd,cost_per_dd
2023-12-01,263.58,579.55,4.935483870967742,-6.0,17.8,152.0,0.0,405.0,0.0,True,2.0818024691358024,False,0.0,405.0,2.0818024691358024
2024-01-01,255.14,440.59,0.5709677419354838,-9.9,15.6,194.0,1210.0,540.3,0.0,True,1.287673514714048,False,0.0,540.3,1.287673514714048
2024-02-01,253.21,929.47,1.903448275862069,-8.8,15.6,16.7,750.0,466.8,0.0,True,2.5335904027420737,False,0.0,466.8,2.5335904027420737
2024-03-01,229.49,0.0,5.206451612903226,-4.9,15.6,227.1,0.0,396.6,0.0,True,0.5786434694906707,False,0.0,396.6,0.5786434694906707
2024-04-01,238.62,0.0,8.973333333333333,1.1,22.8,75.2,0.0,270.8,0.0,True,0.8811669128508124,False,0.0,270.8,0.8811669128508124
2024-05-01,171.86,0.0,15.048387096774194,6.1,31.7,122.3,0.0,114.9,23.4,True,1.4957354221061794,True,7.344444444444446,138.3,1.2426608821402747
2024-06-01,265.83,0.0,21.486666666666668,11.7,36.7,102.5,0.0,1.6000000000000014,106.2,True,0.0,True,2.503107344632768,107.80000000000001,2.46595547309833
2024-07-01,405.28,0.0,24.212903225806453,16.7,35.0,35.599999999999994,0.0,0.0,192.6,False,0.0,True,2.104257528556594,192.6,2.104257528556594
2024-08-01,202.09,0.0,21.87741935483871,14.4,35.0,94.0,0.0,0.3000000000000007,120.5,True,0.0,True,1.6770954356846473,120.8,1.672930463576159
2024-09-01,183.53,0.0,18.59333333333333,11.7,28.3,33.9,0.0,17.9,35.699999999999996,True,10.253072625698325,True,5.140896358543418,53.599999999999994,3.424067164179105
